time_period,rmd_sector,stock_net_million_ron,flow_net_million_ron,construction
2015-Q3,F,31903.5,-156.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2015-Q3,G,-137733.6,1334.5,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2015-Q3,BNR,-17891.2,768.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2015-Q3,X,383538.1,-3786.0,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2015-Q4,H,365742.3,-14726.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2015-Q4,C,-636771.5,36548.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2015-Q4,F,28131.7,-4595.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2015-Q4,G,-145830.0,-8173.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2015-Q4,BNR,-10821.8,-278.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2015-Q4,X,399549.6,-8774.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q1,H,369831.0,5689.6,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q1,C,-634454.1,-10571.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q1,F,30884.8,3270.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q1,G,-153149.3,-3746.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q1,BNR,-12656.4,698.5,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q1,X,399544.4,4658.9,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q2,H,374924.3,6199.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q2,C,-638153.8,-199.9,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q2,F,28787.0,-4807.9,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q2,G,-153847.7,-2737.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q2,BNR,-18346.3,-4310.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q2,X,406636.3,5856.6,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q3,H,377038.6,-6645.5,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q3,C,-637043.2,11922.6,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q3,F,25589.0,-5202.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q3,G,-161550.5,-5.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q3,BNR,-20020.1,-1266.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q3,X,415986.0,1197.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q4,H,382682.9,55395.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q4,C,-633614.4,-34567.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q4,F,24458.7,-3089.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q4,G,-163426.1,-12876.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q4,BNR,-18425.4,-369.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2016-Q4,X,408324.4,-4493.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q1,H,393698.4,4313.0,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q1,C,-652103.5,-8211.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q1,F,21608.6,1940.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q1,G,-165730.5,-4284.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q1,BNR,-19202.9,469.0,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q1,X,421729.7,5773.7,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q2,H,399697.3,5445.0,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q2,C,-652655.6,-5935.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q2,F,18563.6,-3214.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q2,G,-178337.1,-5166.0,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q2,BNR,-18056.7,410.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q2,X,430788.5,8461.5,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q3,H,404171.4,3826.5,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q3,C,-659486.7,-3946.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q3,F,18847.6,-3008.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q3,G,-178986.2,-1168.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q3,BNR,-18239.7,400.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q3,X,433693.7,3895.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q4,H,419610.2,-54260.4,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q4,C,-680935.3,74091.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q4,F,15350.0,-4240.3,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q4,G,-178478.4,-11020.5,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q4,BNR,-18699.0,298.1,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2017-Q4,X,443152.3,-4868.2,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
2018-Q1,H,421233.8,5580.8,OECD_NONCONSOLIDATED_F2_F8_ESA2010_S1M_L_F2_STRUCTURAL_ZERO
