measure,time_period,rmd_sector,assets_million_ron,liabilities_million_ron,net_million_ron
flow,2018-Q1,C,2430.3,11806.6,-9376.3
flow,2018-Q1,F,3976.8,1624.2,2352.6
flow,2018-Q1,G,7628.8,16327.7,-8698.9
flow,2018-Q1,BNR,696.3,428.6,267.7
flow,2018-Q1,X,26491.7,16617.4,9874.3
flow,2018-Q2,H,9538.6,3498.8,6039.8
flow,2018-Q2,C,6087.6,14068.3,-7980.7
flow,2018-Q2,F,3138.6,6091.2,-2952.6
flow,2018-Q2,G,-2203.8,1945.5,-4149.3
flow,2018-Q2,BNR,-17661.4,-17602.0,-59.4
flow,2018-Q2,X,-4135.8,-13237.9,9102.1
flow,2018-Q3,H,9020.0,3951.3,5068.7
flow,2018-Q3,C,1441.1,9178.9,-7737.8
flow,2018-Q3,F,13232.7,14382.9,-1150.2
flow,2018-Q3,G,1634.6,7561.9,-5927.3
flow,2018-Q3,BNR,7017.7,5944.8,1072.9
flow,2018-Q3,X,11704.7,3030.7,8674.0
flow,2018-Q4,H,-66499.4,5404.0,-71903.4
flow,2018-Q4,C,97047.5,10640.7,86406.8
flow,2018-Q4,F,9699.6,12201.3,-2501.7
flow,2018-Q4,G,582.3,9842.4,-9260.1
flow,2018-Q4,BNR,906.8,1704.7,-797.9
flow,2018-Q4,X,3499.6,5442.8,-1943.2
flow,2019-Q1,H,8714.1,1027.8,7686.3
flow,2019-Q1,C,2400.9,4285.8,-1884.9
flow,2019-Q1,F,-2988.9,-3523.6,534.7
flow,2019-Q1,G,-761.5,8684.0,-9445.5
flow,2019-Q1,BNR,-6573.3,-6853.7,280.4
flow,2019-Q1,X,5405.1,2576.1,2829.0
flow,2019-Q2,H,8681.5,3631.8,5049.7
flow,2019-Q2,C,3935.8,11927.0,-7991.2
flow,2019-Q2,F,13820.7,15508.0,-1687.3
flow,2019-Q2,G,-520.1,7781.3,-8301.4
flow,2019-Q2,BNR,1791.1,1528.9,262.2
flow,2019-Q2,X,15962.9,3294.7,12668.2
flow,2019-Q3,H,4328.4,4027.2,301.2
flow,2019-Q3,C,6923.6,2326.5,4597.1
flow,2019-Q3,F,16727.2,18495.2,-1768.0
flow,2019-Q3,G,9771.0,19144.1,-9373.1
flow,2019-Q3,BNR,12011.6,11889.0,122.6
flow,2019-Q3,X,14601.4,8481.3,6120.1
flow,2019-Q4,H,40672.1,15417.3,25254.8
flow,2019-Q4,C,55292.4,57211.0,-1918.6
flow,2019-Q4,F,28094.3,30421.0,-2326.7
flow,2019-Q4,G,-16882.4,2260.7,-19143.1
flow,2019-Q4,BNR,-12063.5,-12218.0,154.5
flow,2019-Q4,X,1604.6,3625.9,-2021.3
flow,2020-Q1,H,11157.4,1071.7,10085.7
flow,2020-Q1,C,-2981.8,1338.9,-4320.7
flow,2020-Q1,F,22656.0,20412.4,2243.6
flow,2020-Q1,G,22813.1,37515.4,-14702.3
flow,2020-Q1,BNR,16599.6,16267.6,332.0
flow,2020-Q1,X,18450.2,12088.8,6361.4
flow,2020-Q2,H,16237.2,507.5,15729.7
flow,2020-Q2,C,-2056.3,-127.6,-1928.7
flow,2020-Q2,F,1637.2,2788.3,-1151.1
flow,2020-Q2,G,11121.3,35038.5,-23917.2
flow,2020-Q2,BNR,686.3,330.9,355.4
flow,2020-Q2,X,14887.0,3975.1,10911.9
flow,2020-Q3,H,12484.3,3437.1,9047.2
flow,2020-Q3,C,23943.5,19735.3,4208.2
flow,2020-Q3,F,14351.4,15096.6,-745.2
flow,2020-Q3,G,-1772.4,17967.7,-19740.1
flow,2020-Q3,BNR,-4101.7,-4849.9,748.2
flow,2020-Q3,X,23889.3,17407.4,6481.9
