measure,time_period,legacy_float_system_residual_million_ron,exact_decimal_system_residual_million_ron,exact_decimal_s1_minus_components_million_ron,exact_decimal_s1_plus_s2_million_ron,legacy_float_violation_gt_0_1,exact_decimal_violation_gt_0_1,exact_decimal_on_boundary_eq_0_1
stock,2021-Q2,0.3999999997613486,0.4,-0.3,0.1,True,True,False
stock,2021-Q3,-0.1999999998370185,-0.2,-0.1,-0.3,True,True,False
stock,2021-Q4,-2.3283064365386963e-10,0.0,-0.1,-0.1,False,False,False
stock,2022-Q1,0.2000000003899913,0.2,-0.3,-0.1,True,True,False
stock,2022-Q2,0.1000000000058207,0.1,0.1,0.2,True,False,True
stock,2022-Q3,-0.0999999997147824,-0.1,-0.1,-0.2,False,False,True
stock,2022-Q4,0.1000000001513399,0.1,0.1,0.2,True,False,True
stock,2023-Q1,-0.1000000000058207,-0.1,0.0,-0.1,True,False,True
stock,2023-Q2,3.7834979593753815e-10,0.0,-0.1,-0.1,False,False,False
stock,2023-Q3,-4.074536263942719e-10,0.0,-0.3,-0.3,False,False,False
stock,2023-Q4,1.1641532182693479e-10,0.0,0.2,0.2,False,False,False
stock,2024-Q1,5.820766091346741e-10,0.0,0.3,0.3,False,False,False
stock,2024-Q2,-0.5000000004656613,-0.5,0.4,-0.1,True,True,False
stock,2024-Q3,-0.1000000008498318,-0.1,0.1,0.0,True,False,True
stock,2024-Q4,0.2000000006519258,0.2,-0.2,0.0,True,True,False
stock,2025-Q1,-0.2000000003026798,-0.2,0.1,-0.1,True,True,False
stock,2025-Q2,-0.3999999993829988,-0.4,0.2,-0.2,True,True,False
stock,2025-Q3,0.1000000000349246,0.1,0.0,0.1,True,False,True
stock,2025-Q4,-5.820766091346741e-10,0.0,-0.1,-0.1,False,False,False
stock,2026-Q1,-0.2000000000116415,-0.2,0.0,-0.2,True,True,False
