KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,CONSOLIDATION,ACCOUNTING_ENTRY,STO,INSTR_ASSET,MATURITY,EXPENDITURE,UNIT_MEASURE,CURRENCY_DENOM,VALUATION,PRICES,TRANSFORMATION,CUST_BREAKDOWN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,OBS_EDP_WBB,TIME_FORMAT,COLL_PERIOD,COMMENT_TS,COMPILING_ORG,CURRENCY,CUST_BREAKDOWN_LB,DATA_COMP,DECIMALS,DISS_ORG,GFS_ECOFUNC,GFS_TAXCAT,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
GFS.M.N.RO.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,M,N,RO,W0,S13,S1,N,L,LE,F3,T,_Z,EUR,_T,F,V,N,_T,2024-12,159666.697,A,F,,,,,P1M,,"Romania - Closing balance sheet/Positions/Stocks - Debt securities - Liabilities (Net Incurrence of) - maturity: All original maturities - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy - Non-consolidated, Current prices, Face value - Euro, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,0,,,,,,,,,,E,Total government debt securities (non-consolidated - outstanding amounts),,6,
GFS.M.N.RO.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,M,N,RO,W0,S13,S1,N,L,LE,F3,T,_Z,EUR,_T,F,V,N,_T,2025-01,160122.577,A,F,,,,,P1M,,"Romania - Closing balance sheet/Positions/Stocks - Debt securities - Liabilities (Net Incurrence of) - maturity: All original maturities - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy - Non-consolidated, Current prices, Face value - Euro, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,0,,,,,,,,,,E,Total government debt securities (non-consolidated - outstanding amounts),,6,
GFS.M.N.RO.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,M,N,RO,W0,S13,S1,N,L,LE,F3,T,_Z,EUR,_T,F,V,N,_T,2025-02,164820.177,A,F,,,,,P1M,,"Romania - Closing balance sheet/Positions/Stocks - Debt securities - Liabilities (Net Incurrence of) - maturity: All original maturities - counterpart area: World (all areas, including reference area, including IO), counterpart sector: Total economy - Non-consolidated, Current prices, Face value - Euro, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,0,,,,,,,,,,E,Total government debt securities (non-consolidated - outstanding amounts),,6,
