KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,CONSOLIDATION,ACCOUNTING_ENTRY,STO,INSTR_ASSET,MATURITY,EXPENDITURE,UNIT_MEASURE,CURRENCY_DENOM,VALUATION,PRICES,TRANSFORMATION,CUST_BREAKDOWN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,OBS_EDP_WBB,TIME_FORMAT,COLL_PERIOD,COMMENT_TS,COMPILING_ORG,CURRENCY,CUST_BREAKDOWN_LB,DATA_COMP,DECIMALS,DISS_ORG,GFS_ECOFUNC,GFS_TAXCAT,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
CSEC.M.N.RO.W0.S1311.S1.N.L.LE.F3.T._Z.XDC.XDC.M.V.N._T,M,N,RO,W0,S1311,S1,N,L,LE,F3,T,_Z,XDC,XDC,M,V,N,_T,2024-12,385370.436527296,A,F,,,,,P1M,,,,,,,3,,,,,,,,,,E,"Debt securities issued by central government (excluding social security), Stocks","Central government excluding social security issuing Debt securities in Market value , Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, All original maturities, Romania, denominated in  Domestic currency (incl. conversion to current currency made using a fixed parity), Non transformed data",6,
CSEC.M.N.RO.W0.S1311.S1.N.L.LE.F3.T._Z.XDC.XDC.M.V.N._T,M,N,RO,W0,S1311,S1,N,L,LE,F3,T,_Z,XDC,XDC,M,V,N,_T,2025-01,385945.229057445,A,F,,,,,P1M,,,,,,,3,,,,,,,,,,E,"Debt securities issued by central government (excluding social security), Stocks","Central government excluding social security issuing Debt securities in Market value , Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, All original maturities, Romania, denominated in  Domestic currency (incl. conversion to current currency made using a fixed parity), Non transformed data",6,
CSEC.M.N.RO.W0.S1311.S1.N.L.LE.F3.T._Z.XDC.XDC.M.V.N._T,M,N,RO,W0,S1311,S1,N,L,LE,F3,T,_Z,XDC,XDC,M,V,N,_T,2025-02,389795.0453263939,A,F,,,,,P1M,,,,,,,3,,,,,,,,,,E,"Debt securities issued by central government (excluding social security), Stocks","Central government excluding social security issuing Debt securities in Market value , Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, All original maturities, Romania, denominated in  Domestic currency (incl. conversion to current currency made using a fixed parity), Non transformed data",6,
